category,n,s,holder,year
pen_in_oct,1,0.69746+,Trivial,
pen_in_oct,2,1.17774+,Trivial,
pen_in_oct,3,1.28954+,Nicolas Campailla,May 2026
pen_in_oct,4,1.42986+,Trivial,
pen_in_oct,5,1.61756+,Nicolas Campailla,May 2026
pen_in_oct,6,1.78003+,Nicolas Campailla,May 2026
pen_in_oct,7,1.82343+,Timo Berthold et al,May 2026
pen_in_oct,8,1.95989+,Nicolas Campailla,May 2026
pen_in_oct,9,2.09517+,Nicolas Campailla,May 2026
pen_in_oct,10,2.21135+,Timo Berthold et al,May 2026
pen_in_oct,11,2.33111+,Timo Berthold et al,May 2026
pen_in_oct,12,2.39327+,Timo Berthold et al,May 2026
pen_in_oct,13,2.49776+,Jake Loyd,June 2026
pen_in_oct,14,2.56564+,Jake Loyd,June 2026
pen_in_oct,15,2.68123+,Timo Berthold et al,May 2026
pen_in_oct,16,2.75249+,Jake Loyd,June 2026
pen_in_oct,17,2.81043+,Jake Loyd,June 2026
pen_in_oct,18,2.89321+,Jake Loyd,June 2026
pen_in_oct,19,2.95527+,Jake Loyd,June 2026
pen_in_oct,20,3.04679+,Jake Loyd,June 2026
pen_in_oct,21,3.11874+,Jake Loyd,June 2026
pen_in_oct,22,3.19144+,Jake Loyd,June 2026
pen_in_oct,23,3.25129+,Jake Loyd,June 2026
pen_in_oct,24,3.28718+,Jake Loyd,June 2026
pen_in_oct,25,3.36617+,Jake Loyd,June 2026
pen_in_oct,26,3.42775+,Jake Loyd,June 2026
pen_in_oct,27,3.49942+,Bhavithran Ananthan,July 2026
pen_in_oct,28,3.56402+,Bhavithran Ananthan,July 2026
pen_in_oct,29,3.61848+,Bhavithran Ananthan,July 2026
pen_in_oct,30,3.66678+,Aristotle Papowitz,July 2026
pen_in_oct,31,3.74379+,Bhavithran Ananthan,July 2026
